"filter_id","year","fundamental_id","fundamental_label","score","percentile","n"
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Purpose","Purpose",4.34,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Strategy","Strategy",4.08,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Leadership","Leadership",4.24,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Communication","Communication",4.14,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Learning & innovation","Learning & innovation",4,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Respect, care, and trust","Respect, care, and trust",4.2,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Performance development","Performance development",4.04,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Safety","Safety",4.5,50,675
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Purpose","Purpose",4.38,50,715
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Strategy","Strategy",4.12,50,715
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Leadership","Leadership",4.3,50,715
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Communication","Communication",4.18,50,715
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Learning & innovation","Learning & innovation",4.04,50,715
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Respect, care, and trust","Respect, care, and trust",4.26,50,715
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Performance development","Performance development",4.07,50,715
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Safety","Safety",4.52,50,715
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Purpose","Purpose",4.5,82.0741518528942,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Strategy","Strategy",4.31,92.6549242981022,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Leadership","Leadership",4.36,80.1992467343212,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Communication","Communication",4.36,85.8352404660503,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Learning & innovation","Learning & innovation",4.04,63.5858159544687,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Respect, care, and trust","Respect, care, and trust",4.32,83.0113404889867,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Performance development","Performance development",4.23,89.5073995150338,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Safety","Safety",4.61,99.2468588870068,65
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Purpose","Purpose",4.52,77.0938450480507,29
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Strategy","Strategy",4.32,90.3433875113005,29
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Leadership","Leadership",4.49,91.0037500775988,29
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Communication","Communication",4.39,86.3647718795648,29
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Learning & innovation","Learning & innovation",4.07,65.0275194147155,29
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Respect, care, and trust","Respect, care, and trust",4.48,95.958343538486,29
