"filter_id","year","outcome_id","outcome_label","score","percentile","n"
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.22058823529412,44,1904
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.2116134060795,84,2566
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.27991675338189,86,1922
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",62.0689655172414,81,638
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.24935732647815,45,1945
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.23571972581873,85,2626
"company=all|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.33536585365854,87,1968
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.23118279569892,45,186
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.28174603174603,86,252
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.28877005347594,86,187
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",50,75,26
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.30864197530864,46,81
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.24299065420561,85,107
"company=federal|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.45679012345679,89,81
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.03496503496504,41,143
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.390625,88,192
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.25694444444444,85,144
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",60,80,105
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.33333333333333,47,318
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.28271028037383,86,428
"company=industrial_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.3375,87,320
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.23826714801444,45,277
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.32345013477089,86,371
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.33691756272401,87,279
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",63.5135135135135,82,74
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.0045871559633,40,218
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.46735395189003,89,291
"company=financial_solutions|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.49308755760369,90,217
"company=petro_star|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.28779069767442,46,344
"company=petro_star|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.10897435897436,82,468
"company=petro_star|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.19373219373219,84,351
"company=petro_star|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",61.3138686131387,81,137
"company=petro_star|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.40095465393795,48,419
"company=petro_star|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.14084507042254,83,568
"company=petro_star|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.26995305164319,85,426
"company=energy_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.20973782771536,44,267
"company=energy_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.19662921348315,84,356
"company=energy_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.25842696629214,85,267
"company=energy_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",64.9484536082474,82,97
"company=energy_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.09446254071661,42,307
"company=energy_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.23543689320388,85,412
"company=energy_services|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.29449838187702,86,309
"company=construction_north_slope_operations|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.2197962154294,44,687
"company=construction_north_slope_operations|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.16828478964401,83,927
"company=construction_north_slope_operations|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.31123919308357,86,694
"company=construction_north_slope_operations|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",63.3165829145729,82,199
"company=construction_north_slope_operations|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.25913621262459,45,602
"company=construction_north_slope_operations|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.19390243902439,84,820
"company=construction_north_slope_operations|department=all|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.32845528455285,87,615
"company=all|department=operations|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.2734693877551,45,245
"company=all|department=operations|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.30722891566265,86,332
"company=all|department=operations|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.30241935483871,86,248
"company=all|department=operations|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",60.7142857142857,80,56
"company=all|department=operations|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.01136363636364,40,176
"company=all|department=operations|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.4364406779661,89,236
"company=all|department=operations|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.40340909090909,88,176
"company=all|department=engineering_technical|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.18238993710692,44,159
"company=all|department=engineering_technical|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.30660377358491,86,212
"company=all|department=engineering_technical|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.31446540880503,86,159
"company=all|department=engineering_technical|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",64.7058823529412,82,51
"company=all|department=engineering_technical|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.15432098765432,43,162
"company=all|department=engineering_technical|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.38888888888889,88,216
"company=all|department=engineering_technical|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.42236024844721,88,161
"company=all|department=maintenance_reliability|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.17959183673469,44,245
"company=all|department=maintenance_reliability|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.21406727828746,84,327
"company=all|department=maintenance_reliability|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.30487804878049,86,246
"company=all|department=maintenance_reliability|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",64.7058823529412,82,68
"company=all|department=maintenance_reliability|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.1356783919598,43,199
"company=all|department=maintenance_reliability|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.29588014981273,86,267
"company=all|department=maintenance_reliability|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.375,88,200
"company=all|department=projects_construction|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.30387409200968,46,826
"company=all|department=projects_construction|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.10329474621549,82,1123
"company=all|department=projects_construction|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.2375296912114,85,842
"company=all|department=projects_construction|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",62.2568093385214,81,257
"company=all|department=projects_construction|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.34183673469388,47,784
"company=all|department=projects_construction|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.14179104477612,83,1072
"company=all|department=projects_construction|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.29353233830846,86,804
"company=all|department=health_safety_environment_hse|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.26086956521739,45,138
"company=all|department=health_safety_environment_hse|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.2445652173913,85,184
"company=all|department=health_safety_environment_hse|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.17391304347826,83,138
"company=all|department=health_safety_environment_hse|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",62.962962962963,81,54
"company=all|department=health_safety_environment_hse|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2,40,168
"company=all|department=health_safety_environment_hse|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.2780269058296,86,223
"company=all|department=health_safety_environment_hse|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.375,88,168
"company=all|department=supply_chain_logistics|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2,40,144
"company=all|department=supply_chain_logistics|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.3125,86,192
"company=all|department=supply_chain_logistics|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.31468531468532,86,143
"company=all|department=supply_chain_logistics|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",61.0526315789474,81,95
"company=all|department=supply_chain_logistics|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.32129963898917,46,277
"company=all|department=supply_chain_logistics|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.1989247311828,84,372
"company=all|department=supply_chain_logistics|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.29749103942652,86,279
"company=all|department=corporate_functions|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.17647058823529,44,102
"company=all|department=corporate_functions|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.32352941176471,86,136
"company=all|department=corporate_functions|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.42574257425743,89,101
"company=all|department=corporate_functions|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",57.8947368421053,79,19
"company=all|department=corporate_functions|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.41269841269841,48,63
"company=all|department=corporate_functions|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.17857142857143,84,84
"company=all|department=corporate_functions|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.41269841269841,88,63
"company=all|department=program_contract_management|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",1.44444444444444,29,45
"company=all|department=program_contract_management|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.68333333333333,94,60
"company=all|department=program_contract_management|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.57777777777778,92,45
"company=all|department=program_contract_management|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",57.8947368421053,79,38
"company=all|department=program_contract_management|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.41379310344828,48,116
"company=all|department=program_contract_management|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.32051282051282,86,156
"company=all|department=program_contract_management|identity=all|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.32478632478632,86,117
"company=all|department=all|identity=i_upiaq|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.34011627906977,47,344
"company=all|department=all|identity=i_upiaq|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.19130434782609,84,460
"company=all|department=all|identity=i_upiaq|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Work satisfaction","Work satisfaction",4.28779069767442,86,344
"company=all|department=all|identity=i_upiaq|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"eNPS","eNPS",50.8064516129032,75,124
"company=all|department=all|identity=i_upiaq|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Burnout","Burnout",2.36159600997506,47,401
"company=all|department=all|identity=i_upiaq|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Engagement","Engagement",4.22222222222222,84,540
"company=all|department=all|identity=i_upiaq|location=all|employee_type=all|tenure=all|work_arrangement=all",2025,"Work satisfaction","Work satisfaction",4.36543209876543,87,405
"company=all|department=all|identity=other_alaska_native|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Burnout","Burnout",2.24561403508772,45,228
"company=all|department=all|identity=other_alaska_native|location=all|employee_type=all|tenure=all|work_arrangement=all",2024,"Engagement","Engagement",4.22435897435897,84,312
